VideoID,Short Video Length,Medium Video Length,Long Video Length
1,1000000,1000000,1000000
2,88388.34765,125000,176776.6953
3,21383.3433,37037.03704,64150.02991
4,7812.5,15625,31250
5,3577.708764,8000,17888.54382
6,1890.038382,4629.62963,11340.23029
7,1101.937239,2915.451895,7713.560674
8,690.533966,1953.125,5524.271728
9,457.2473708,1371.742112,4115.226337
10,316.227766,1000,3162.27766
11,226.5299358,751.3148009,2491.829294
12,167.0573696,578.7037037,2004.688435
13,126.2403724,455.1661356,1641.124841
14,97.39841178,364.4314869,1363.577765
15,76.50337474,296.2962963,1147.550621
16,61.03515625,244.140625,976.5625
17,49.36609506,203.5416243,839.223616
18,40.41533957,171.4677641,727.4761123
19,33.44740252,145.7938475,635.5006478
20,27.95084972,125,559.0169944
21,23.56310228,107.9796998,494.8251479
22,20.02260672,93.91435011,440.4973478
23,17.13770149,82.18952905,394.1671343
24,14.76592486,72.33796296,354.3821966
25,12.8,64,320
26,11.15817792,56.89576695,290.1126259
27,9.777477505,50.80526343,263.9918926
28,8.60888468,45.55393586,241.0487711
29,7.613897174,41.00209111,220.803018
30,6.762006883,37.03703704,202.8602065
31,6.02884435,33.56718472,186.8941748
32,5.394796609,30.51757813,172.6334915
33,4.843967386,27.82647411,159.8509237
34,4.363387572,25.44270303,148.3551775
35,3.942410518,23.32361516,137.9843681
36,3.572245085,21.43347051,128.600823
37,3.245592311,19.7421673,120.0869155
38,2.956360642,18.22423094,112.3417044
39,2.699441221,16.85800502,105.2782076
40,2.470529422,15.625,98.82117688
41,2.265982239,14.5093658,92.9052718
42,2.082703676,13.49746248,87.4735544
43,1.918052125,12.5775089,82.47624139
44,1.769765124,11.73929376,77.86966544
45,1.635897926,10.9739369,73.61540667
46,1.514773117,10.27369113,69.6795634
47,1.404939093,9.631777159,66.03213739
48,1.3051357,9.04224537,62.64651358
49,1.214265679,8.499859752,59.49901827
50,1.13137085,8,56.56854249
51,1.055612158,7.538578676,53.83622007
52,0.986252909,7.111970869,51.28515128
53,0.922644626,6.716954264,48.90016517
54,0.864215081,6.350657928,46.66761436
55,0.810458137,6.010518407,44.57519752
56,0.760925092,5.694241983,42.61180515
57,0.715217291,5.39977213,40.76738557
58,0.67297979,5.125261388,39.03282784
59,0.633895924,4.869046981,37.39985952
60,0.597682615,4.62962963,35.86095691
61,0.564086333,4.405655099,34.40926631
62,0.53287959,4.19589809,33.0385346
63,0.503857905,3.999248141,31.74304804
64,0.476837158,3.814697266,30.51757813
65,0.451651287,3.641329085,29.35733363
66,0.428150273,3.478309263,28.25791804
67,0.406198383,3.324877063,27.21529168
68,0.385672618,3.180337879,26.225738
69,0.366461354,3.044056632,25.28583346
70,0.348463151,2.915451895,24.3924206
71,0.33158569,2.793990685,23.54258398
72,0.31574484,2.679183813,22.73362851
73,0.300863837,2.570581748,21.96306009
74,0.286872541,2.467770912,21.22856807
75,0.273706794,2.37037037,20.52800957
76,0.261307832,2.278028867,19.85939525
77,0.249621772,2.19042216,19.22087645
78,0.238599149,2.107250628,18.61073363
79,0.228194504,2.028237117,18.02736582
80,0.218366013,1.953125,17.46928107
81,0.209075158,1.881676423,16.93508781
82,0.200286426,1.813670724,16.42348692
83,0.191967044,1.748903001,15.93326462
84,0.184086737,1.68718281,15.46328587
85,0.176617511,1.628332994,15.01248843
86,0.169533458,1.572188612,14.57987739
87,0.162810577,1.518595967,14.16452021
88,0.156426615,1.467411721,13.76554212
89,0.150360921,1.41850209,13.38212195
90,0.144594315,1.371742112,13.01348831
91,0.139108967,1.327014973,12.65891603
92,0.133888293,1.284211391,12.31772295
93,0.128916848,1.243229064,11.98926691
94,0.124180245,1.203972145,11.67294303
95,0.119665065,1.16635078,11.36818119
96,0.115358788,1.130280671,11.07444364
97,0.111249721,1.095682682,10.79122293
98,0.107326937,1.062482469,10.51803982
99,0.103580218,1.030610152,10.25444154
100,0.1,1,10
101,0.096577329,0.970590148,9.754310266
102,0.093303814,0.942322335,9.516989071
103,0.090171587,0.915141659,9.287673467
104,0.087173265,0.888996359,9.066019561
105,0.084301918,0.863837599,8.851701342
106,0.081551034,0.839619283,8.644409597
107,0.078914494,0.816297877,8.443850896
108,0.076386543,0.793832241,8.249746645
109,0.073961763,0.77218348,8.061832213
110,0.071635056,0.751314801,7.879856109
111,0.069401615,0.731191381,7.70357922
112,0.067256912,0.711780248,7.532774095
113,0.065196675,0.693050162,7.367224281
114,0.063216875,0.674971516,7.206723696
115,0.061313705,0.657516232,7.051076055
116,0.059483572,0.640657674,6.900094314
117,0.057723078,0.624370556,6.753600168
118,0.056029013,0.608630873,6.61142357
119,0.054398338,0.593415814,6.473402281
120,0.052828179,0.578703704,6.339381453
121,0.051315812,0.56447393,6.209213231
122,0.049858659,0.550706887,6.082756386
123,0.048454276,0.537383918,5.959875964
124,0.047100346,0.524487261,5.840442964
125,0.045794672,0.512,5.724334022
126,0.044535168,0.499906018,5.611431131
127,0.043319853,0.488189953,5.501621362
128,0.042146849,0.476837158,5.394796609
129,0.041014367,0.465833663,5.290853352
130,0.039920711,0.455166136,5.189692422
131,0.038864266,0.444821851,5.091218791
132,0.037843495,0.434788658,4.995341367
133,0.036856938,0.425054949,4.901972805
134,0.035903204,0.415609633,4.811029325
135,0.034980967,0.406442107,4.722430539
136,0.034088965,0.397542235,4.636099296
137,0.033225996,0.388900318,4.55196152
138,0.032390914,0.380507079,4.469946076
139,0.031582623,0.372353636,4.389984626
140,0.030800082,0.364431487,4.312011504
141,0.030042295,0.356732487,4.235963589
142,0.029308311,0.349248836,4.161780194
143,0.028597223,0.341973055,4.089402954
144,0.027908165,0.334897977,4.01877572
145,0.027240307,0.328016729,3.949844464
146,0.026592857,0.321322719,3.882557181
147,0.02596506,0.31480962,3.816863801
148,0.02535619,0.308471364,3.752716109
149,0.024765555,0.302302121,3.690067657
150,0.024192491,0.296296296,3.628873693
151,0.023636365,0.290448513,3.569091087
152,0.023096568,0.284753608,3.510678262
153,0.022572517,0.279206618,3.453595128
154,0.022063656,0.27380277,3.397803019
155,0.021569449,0.268537478,3.343264636
156,0.021089385,0.263406328,3.289943988
157,0.02062297,0.258405077,3.237806339
158,0.020169735,0.25352964,3.186818155
159,0.019729227,0.248776084,3.136947058
160,0.019301011,0.244140625,3.088161778
161,0.018884671,0.239619618,3.040432106
162,0.018479808,0.235209553,2.993728857
163,0.018086036,0.230907047,2.948023825
164,0.017702986,0.226708841,2.903289744
165,0.017330305,0.222611793,2.859500254
166,0.01696765,0.218612875,2.816629865
167,0.016614694,0.214709167,2.774653923
168,0.016271122,0.210897851,2.733548575
169,0.015936632,0.207176211,2.693290743
170,0.01561093,0.203541624,2.653858093
171,0.015293737,0.19999156,2.615229003
172,0.014984782,0.196523577,2.577382543
173,0.014683806,0.193135314,2.540298444
174,0.014390558,0.189824496,2.503957074
175,0.014104797,0.186588921,2.468339416
176,0.01382629,0.183426465,2.433427045
177,0.013554814,0.180335073,2.399202107
178,0.013290153,0.177312761,2.365647295
179,0.0130321,0.17435761,2.332745834
180,0.012780453,0.171467764,2.300481458
181,0.012535019,0.16864143,2.268838394
182,0.012295612,0.165876872,2.237801342
183,0.012062052,0.163172411,2.207355463
184,0.011834165,0.160526424,2.177486356
185,0.011611784,0.157937338,2.14818005
186,0.011394747,0.155403633,2.119422983
187,0.011182898,0.152923835,2.091201991
188,0.010976087,0.150496518,2.063504293
189,0.010774167,0.148120302,2.036317481
190,0.010576997,0.145793847,2.009629502
191,0.010384443,0.14351586,1.983428649
192,0.010196373,0.141285084,1.957703549
193,0.010012659,0.139100302,1.932443155
194,0.009833179,0.136960335,1.907636727
195,0.009657815,0.13486404,1.88327383
196,0.009486451,0.132810309,1.859344321
197,0.009318976,0.130798066,1.835838336
